"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"American fiction--Women authors--History and criticism","general term","013271568","Monograph","Language material ; Text","Volume","GBA717475","","9780874138863","Seelye, John","1931-2015","person","","Seelye, John, 1931-2015 [person]","Jane Eyre's American daughters : from The wide, wide world to Anne of Green Gables : a study of marginalized maidens and what they mean","","","","United States of America","Newark, Delaware","Associated University Presses ; University of Delaware Press","2005","","368 pages, 25 cm","813.4099287","YC.2007.a.3220 ; m05/.31118","","English","",""
"American literature--Women authors--History and criticism--Theory, etc","general term","012589967","Monograph","Language material ; Text","Volume","GB9720940","","9780195099140 ; 9780195099157","Kaplan, Carla","","person","","Kaplan, Carla [person]","The erotics of talk : women's writing and feminist paradigms","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1996","","x, 240 pages, 24 cm","810.99287","97/08363 ; YC.1997.b.2568","","English","bibliography: p207-225. - Includes index",""
"Angria (Imaginary place)","general term","018522396","Monograph","Language material ; Text","Online resource","GBB7H8462","","9780141194028","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","Tales of Angria","","Penguin classics","","England","London","Penguin","2006","","1 online resource (lx, 587 pages)","823.8","ELD.DS.189585","Fiction","English","",""
"Angria (Imaginary place)--Fiction","general term","007401648","Monograph","Language material ; Text","Volume","GB9940800","","9780712304085","Brontë, Charlotte","1816-1855","person","","British Library [organisation] ; Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","Charlotte Brontë's High life in Verdopolis : a story from the Glass Town saga","High life in Verdopolis","","","England","London","British Library","1995","","xxiii, 103 pages, 12 pages of plates, illustrations (some colour), facsimiles, 22 cm","823.8","YC.1999.a.2785","Fiction ; Novel","English","",""
"Angria (Imaginary place)--Fiction","general term","009252496","Monograph","Language material ; Text","Volume","","","9780968196106","Brontë, Charlotte","1816-1855","person","","McMaster, Juliet [person] ; Brontë, Charlotte, 1816-1855 [person]","My Angria and the Angrians","","","","Canada","Edmonton","Juvenilia Press","1997","","xxii, 83 pages, illustrations, genealogical table, maps, 22 cm","","YA.1998.a.2585","","English","",""
"Angria (Imaginary place)--Fiction","general term","010958533","Monograph","Language material ; Text","Volume","GB7313053","","9780804617277","Brontë, Charlotte","1816-1855","person","","Ratchford, Fannie Elizabeth, 1887-1974 [person] ; DeVane, William C. (William Clyde), 1898-1965 [person] ; Brontë, Charlotte, 1816-1855 [person]","Legends of Angria","","","","England","London ; Port Washington","Kennikat","1973","","xlviii, 332 pages, illustrations, 1 map, 23 cm","823.8","75/14366 ; X.989/21155","","English","Originally published: New Haven: Yale University Press; London: Oxford University Press, 1933",""
"Angria (Imaginary place)--Fiction","general term","011935697","Monograph","Language material ; Text","Volume","GBA3X6256","","9780141439952","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","Stancliffe's Hotel","","Penguin classics","","England","London","Penguin","2003","","xiv, 79 pages, 14 cm","823.8","H.2003/2551","Fiction","English","",""
"Angria (Imaginary place)--Fiction","general term","013408287","Monograph","Language material ; Text","Volume","GBA624658","","9780140435092","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","Tales of Angria","","Penguin classics","","England","London","Penguin","2006","","lx, 587 pages, 20 cm","823.8","H.2006/3816","Fiction","English","",""
"Angria (Imaginary place)--Fiction","general term","015414620","Monograph","Language material ; Text","Volume","GBA9A8202","","9780141035628","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Tales of Angria","","","","England","London","Penguin","2010","","517 pages, 18 cm","823.8","H.2011/.5366","Fiction","English","Originally published: 2006",""
"Angria (Imaginary place)--Fiction","general term","018522396","Monograph","Language material ; Text","Online resource","GBB7H8462","","9780141194028","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","Tales of Angria","","Penguin classics","","England","London","Penguin","2006","","1 online resource (lx, 587 pages)","823.8","ELD.DS.189585","Fiction","English","",""
"Anstice, Joseph, Professor at King's College, London","person","040-002038723","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000337.0x0003cd","","","","","","","","","","","","","","1836-1837","","1 item","","Western Manuscripts. Add MS 44355","","English","Vol. CCLXX (ff. 275). 1836- 1837. includes:. ff. 1, 3, 7, 15, 119, 124, 131, 133, 268 Robert Caparn, election agent; of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1846; ff. 9, 110, 115 James Endell Tyler, Rector of St. Giles-in-the-Fields; Canon of St. Paul's 1845: Correspondence with W. E. Gladstone: 1834-1849; ff. 13, 228 John Frederick Denison Maurice, author and theologian: Correspondence with W. E. Gladstone: 1830-1841; ff. 17, 113, 129, 168, 316 William Edward Tallents, election agent, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1837; f. 18 William Branston, of Newark, county Nottinghamshire: Letter to W. E. Tallents: 1836.: Copy; f. 20 Joseph Anstice, Professor at King's College, London: Letters to W. E. Gladstone: 1832-1836; ff. 22, 29, 60, 62, 97, 105 Reverend Thomas Chalmers, theologian: Correspondence with W. E. Gladstone: 1834-1842; f. 24 James William Farrer, Master in Chancery: Letter to W. E. Gladstone: 1836; f. 26 Mary Harrison, mother of Archdeacon B Harrison: Letter to W. E. Gladstone: 1836; f. 27 Samuel Francis Wood, barrister: Letter to W. E. Gladstone: 1836; f. 31 Dudley Ryder, Viscount Sandon; 2nd Earl of Harrowby: Correspondence with W. E. Gladstone: 1835-1875; f. 33 John Inglis, Bishop of Nova Scotia: Letters to W. E. Gladstone: 1836, 1839; f. 35 John Inglis, Bishop of Nova Scotia: Letter to Sir C. Campbell: 1835.: Copy; ff. 40, 265 Edward Gibbon Wakefield, colonial statesman: Letters to W. E. Gladstone: 1836-1851; ff. 44-259 passim Sir Henry Taylor, KCMG; Colonial Office; author: Correspondence with W. E. Gladstone: 1836-1885; ff. 48, 51, 158 Edward Smith Godfrey, Chairman of Newark election committee: Correspondence with W. E. Gladstone: 1832-1841; ff. 54, 147 John Reddie, Chief Justice of St. Lucia: Letters to W. E. Gladstone: 1836; f. 55 William Boler, of the Royal Mint: Correspondence with W. E. Gladstone: 1836-1847; f. 58 Arthur Wellesley, 1st Duke of Wellington: Letter to Lord Aberdeen: 1836; f. 64 James Spedding, editor of the works of Sir Francis Bacon: Correspondence with W. E. Gladstone: 1836-1876; f. 66 Sir Joseph Napier, Lord Chancellor of Ireland: Correspondence with W. E. Gladstone: 1850-1865; f. 68 Kirkman Finlay, MP, Lord Provost of Glasgow: Letters to W. E. Gladstone: 1832-1836; ff. 72, 80 William Jacobson, Bishop of Chester: Correspondence with W. E. Gladstone: 1836-1884; ff. 72-96 Henry Thompson, of Magdalen Hall, Oxford: Documents rel. to: 1836-1839; ff. 75, 78 William Rawson, Rector of Seaforth: Correspondence with W. E. Gladstone: 1828-1871; ff. 88, 89 Henry Thompson, of Magdalen Hall, Oxford: Letters to W. E. Gladstone: 1836-1839; f. 90 Poetry ENGLISH: Verses by H. Thompson: 1836; f. 100 William Grant Broughton, Bishop of Sydney: Letter to E. Coleridge: 1836; ff. 104, 200 Reverend Robert Simpson, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1834-1843; ff. 107, 121 Joan Canning, Viscountess Canning 1828; wife of George Canning: Letters to W. E. Gladstone: 1836; f. 126 James Bruce, 8th Earl of Elgin and 12th Earl of Kincardine: Correspondence with W. E. Gladstone: 1831-1861; ff. 135, 137 Sir George Clerk, 6th Baronet of Penicuick; statesman: Correspondence with W. E. Gladstone: 1836-1864; f. 139 Sir John Stuart Forbes, 8th Baronet; afterwards Hepburn-Forbes: Correspondence with W. E. Gladstone: 1836-1858; ff. 140, 155 Arthur Pakenham: Correspondence with W. E. Gladstone: 1832-1846; ff. 143, 197, 209, 247, 249 Joseph Williams Blakesley, Dean of Lincoln: Correspondence with W. E. Gladstone: 1833-1870; ff. 145, 146b Sir George Grey, 2nd Baronet; of Fallodon: Correspondence with W. E. Gladstone: 1836-1871; ff. 159, 199 (imperf.), 273 Edward Wilmot, of Portarlington: Letters to W. E. Gladstone: 1833-1839; f. 161 Sir Thomas Gladstone, 2nd Baronet; elder brother of WE Gladstone: Letter to Sir G. Grey: 1837.: Draft; f. 166 John Jeremiah Bigsby, geologist: Letter to, from W. E. Gladstone: 1837.: Draft; f. 173 William Selwyn, Canon of Ely: Correspondence with W. E. Gladstone: 1837-1874; f. 174 John Garrett Bussell, Vicar of Newark, county Nottinghamshire: Letter to, from W. E. Gladstone: 1837.: Draft; ff. 184, 188 Robert Benton Seeley, publisher and author: Letters to F. R. Bonham: 1837; f. 186 Stanley Lees Giffard, Editor of 'The Standard': Letters to W. E. Gladstone: 1837, 1839; f. 190 Charles James Blomfield, Bishop of London: Letter to Rev. J. Husband: 1827; f. 192 Sir Thomas Tancred, 7th Baronet: Correspondence with W. E. Gladstone: 1835-1852; ff. 194, 221, 226 Philip Pusey, MP; agriculturist: Correspondence with W. E. Gladstone: 1837-1865; f. 202 Mary Gaskell, wife of B Gaskell: Letters to W. E. Gladstone: 1830-1840; f. 204 Arthur Henry Dyke Acland, barrister: Letters to W. E. Gladstone: 1835-1852; ff. 206, 207 Stratford Canning, Viscount Stratford de Redcliffe: Correspondence with W. E. Gladstone: 1837-1880; f. 208 Charles John Canning, 2nd Viscount and (1859) Earl Canning: Letter to Sir Stratford Canning: 1837; ff. 212, 222 Henry Phillpotts, Bishop of Exeter: Correspondence with W. E. Gladstone: 1837-1866; ff. 213, 219 Sir Robert Heron, 2nd Baronet: Letters to W. E. Gladstone: 1837; f. 217 John Harty, physician: Letter to, from W. E. Gladstone: 1837.: Copy; f. 224 Colonel John MacInnes, General 1856: Letter to W. E. Gladstone: 1837; ff. 230, 260, 271 Reverend Charles Richard Elrington, Regius Professor of Divinity at Trinity College, Dublin: Letters to W. E. Gladstone: 1837-1844; f. 236 Charlotte Brontë, author: Letter to, from Robert Southey: 1837.: Copy; f. 236 Robert Southey, poet: Letter to Charlotte Brontë: 1837.: Copy; f. 240 George William Finch-Hatton, 10th Earl of Winchilsea: Correspondence with W. E. Gladstone: 1832-1845; f. 241 Digby Willoughby, 7th Baron Middleton: Letters to W. E. Gladstone: 1837, 1841; f. 242 Manchester, Lancashire: Invitation to W. E. Gladstone to contest the constituency: 1837; f. 243 Hon Edward Harcourt, formerly Venables-Vernon; Archbishop of York: Letters to W. E. Gladstone: 1837-1841; f. 245 Isabella Ramsay, wife of Dean Ramsay: Letters to W. E. Gladstone: 1834-1843; f. 252 Sir Thomas Fowell Buxton, 1st Baronet; philanthropist: Letters to W. E. Gladstone: 1837-1840; f. 257 Sir James Stephen, KCB: Correspondence with W. E. Gladstone: 1835-1855; f. 266 Arthur Wellesley, 1st Duke of Wellington: Correspondence with W. E. Gladstone: 1837-1846",""
"Anti-Catholicism in literature","general term","013106259","Monograph","Language material ; Text","Volume","GBA511602","","9781403943026","Peschier, Diana","1950-","person","","Peschier, Diana, 1950- [person]","Nineteenth-century anti-Catholic discourses : the case of Charlotte Brontë","","","","England ; United States of America","Basingstoke","Palgrave Macmillan","2005","","x, 198 pages, 22 cm","823.8","YC.2005.a.7378 ; m05/.28050","","English","",""
"Anti-Catholicism--England--History--19th century","general term","013106259","Monograph","Language material ; Text","Volume","GBA511602","","9781403943026","Peschier, Diana","1950-","person","","Peschier, Diana, 1950- [person]","Nineteenth-century anti-Catholic discourses : the case of Charlotte Brontë","","","","England ; United States of America","Basingstoke","Palgrave Macmillan","2005","","x, 198 pages, 22 cm","823.8","YC.2005.a.7378 ; m05/.28050","","English","",""
"Apraxia--Juvenile fiction","general term","013084067","Monograph","Language material ; Text","Volume","GBA505548","","9781904744634 ; 9781904744771","Noble, Julie","1969-","person","","Noble, Julie, 1969- [person]","Talli's secret","","","","England","Leicester","Matador","2004","","vii, 221 pages, 22 cm","823.914","H.2005/13","Children's fiction","English","",""
